COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Aruba,ABW,AMRO,REPORTING,29-12-2023,217124,90493,203,85,84363,79,,17-02-2021,,35659,33
Afghanistan,AFG,EMRO,REPORTING,31-12-2023,2.296475E7,1.9151369E7,59,49,1.8370386E7,47,,22-02-2021,,2729940,7
Angola,AGO,AFRO,REPORTING,31-12-2023,2.7819132E7,1.6550642E7,85,50,9609080,29,,10-03-2021,,3067091,9
Anguilla,AIA,AMRO,REPORTING,29-12-2023,24864,10858,166,72,10382,69,,05-02-2021,,3231,22
Albania,ALB,EURO,REPORTING,23-12-2023,3088966,1349255,107,47,1279333,44,,13-01-2021,,402371,14
Andorra,AND,EURO,REPORTING,23-12-2023,157072,57913,203,75,53501,69,,20-01-2021,,43071,56
Argentina,ARG,AMRO,REPORTING,29-12-2023,1.16686617E8,4.118865E7,258,91,3.8090133E7,84,,29-12-2020,,2.7718875E7,61
Armenia,ARM,EURO,REPORTING,23-12-2023,2256919,1150915,76,39,1030758,35,,27-01-2021,,81354,3
Antigua and Barbuda,ATG,AMRO,REPORTING,29-12-2023,136512,64290,139,66,62384,64,,01-03-2021,,9838,10
Australia,AUS,WPRO,REPORTING,31-12-2023,6.9686752E7,2.2443557E7,273,88,2.176624E7,85,,21-02-2021,,1.4391682E7,56
Austria,AUT,EURO,REPORTING,23-12-2023,2.0403676E7,6909588,229,78,6682372,75,,30-12-2020,,5405966,61
Azerbaijan,AZE,EURO,REPORTING,23-12-2023,1.382936E7,5436662,136,54,4888112,48,,20-01-2021,,3504588,35
Burundi,BDI,AFRO,REPORTING,31-12-2023,42252,36909,,,36321,,,18-10-2021,,314,
Belgium,BEL,EURO,REPORTING,23-12-2023,2.9117755E7,9248897,253,80,9152736,79,,30-12-2020,,7246551,63
Benin,BEN,AFRO,REPORTING,31-12-2023,4232541,3697190,35,30,2742837,23,,29-03-2021,,,
Burkina Faso,BFA,AFRO,REPORTING,31-12-2023,7893609,6089089,38,29,5232347,25,,02-06-2021,,4056,
Bulgaria,BGR,EURO,REPORTING,23-12-2023,4723016,2155863,68,31,2080472,30,,30-12-2020,,864723,12
Bahamas,BHS,AMRO,REPORTING,29-12-2023,366359,174810,93,44,166972,42,,14-03-2021,,33717,9
Bosnia and Herzegovina,BIH,EURO,REPORTING,23-12-2023,1190949,546013,36,17,461202,14,,,,182203,6
Belarus,BLR,EURO,REPORTING,23-12-2023,2.2765402E7,6451746,241,68,6366658,67,,03-02-2021,,5724423,61
Belize,BLZ,AMRO,REPORTING,29-12-2023,511106,236221,129,59,221478,56,,01-03-2021,,53189,13
Bermuda,BMU,AMRO,REPORTING,29-12-2023,136759,48554,220,78,47657,77,,11-01-2021,,32016,51
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,29-12-2023,1.610454E7,7505389,138,64,6307628,54,,30-01-2021,,2521192,22
Brazil,BRA,AMRO,REPORTING,29-12-2023,5.16237106E8,1.84663245E8,243,87,1.72876264E8,81,,17-01-2021,,1.10574302E8,52
Barbados,BRB,AMRO,REPORTING,29-12-2023,384049,163853,134,57,155047,54,,08-01-2021,,62848,22
Botswana,BWA,AFRO,REPORTING,31-12-2023,3171667,1951054,135,83,1663490,71,,26-03-2021,,510809,22
Central African Republic,CAF,AFRO,REPORTING,31-12-2023,3342248,2600389,69,54,2484985,51,,19-03-2021,,366221,8
Canada,CAN,AMRO,REPORTING,29-12-2023,9.9034734E7,3.2647931E7,262,87,3.1314748E7,83,,14-12-2020,,1.9860368E7,53
Switzerland,CHE,EURO,REPORTING,23-12-2023,1.6755985E7,6096600,194,70,5723066,66,,23-12-2020,,4996650,58
Chile,CHL,AMRO,REPORTING,29-12-2023,6.68649E7,1.7538744E7,350,92,1.7721999E7,93,,21-12-2020,,1.5779434E7,83
C?te d'Ivoire,CIV,AFRO,REPORTING,31-12-2023,2.5263932E7,1.3568372E7,96,51,1.2164304E7,46,,01-03-2021,,3138712,12
Cameroon,CMR,AFRO,REPORTING,31-12-2023,4880572,3753733,18,14,3197286,12,,12-04-2021,,803560,3
Democratic Republic of the Congo,COD,AFRO,REPORTING,31-12-2023,1.8808671E7,1.7045721E7,21,19,1.439952E7,16,,19-04-2021,,,
Congo,COG,AFRO,REPORTING,31-12-2023,833210,695760,15,13,654119,12,,23-03-2021,,,
Colombia,COL,AMRO,REPORTING,29-12-2023,9.0931192E7,4.3012174E7,179,85,3.7204128E7,73,,17-02-2021,,1.4944212E7,29
Comoros,COM,AFRO,REPORTING,31-12-2023,835021,438825,96,50,397080,46,,10-04-2021,,,
Cabo Verde,CPV,AFRO,REPORTING,31-12-2023,859940,356734,155,64,308720,56,,18-03-2021,,749,
Costa Rica,CRI,AMRO,REPORTING,29-12-2023,1.3576935E7,4650636,267,91,4369784,86,,24-12-2020,,2986527,59
Cuba,CUB,AMRO,REPORTING,29-12-2023,4.5857667E7,1.07868E7,405,95,1.0043987E7,89,,,,8783298,78
Cura?ao,CUW,AMRO,REPORTING,29-12-2023,260324,108601,159,66,100885,61,,,,47473,29
Cayman Islands,CYM,AMRO,REPORTING,29-12-2023,152148,62113,232,95,60696,92,,15-01-2021,,24064,37
Cyprus,CYP,EURO,REPORTING,23-12-2023,1891597,669294,213,75,656138,74,,23-12-2020,,520026,59
Czechia,CZE,EURO,REPORTING,23-12-2023,1.8615329E7,6972222,174,65,6887973,64,,23-12-2020,,4365928,41
Germany,DEU,EURO,REPORTING,23-12-2023,1.93241457E8,6.4868618E7,232,78,6.3566137E7,76,,23-12-2020,,5.2143826E7,63
Djibouti,DJI,EMRO,REPORTING,31-12-2023,723789,372077,73,38,351712,36,,15-03-2021,,,
Dominica,DMA,AMRO,REPORTING,29-12-2023,67647,32995,94,46,30659,43,,12-02-2021,,3993,6
Denmark,DNK,EURO,REPORTING,23-12-2023,1.492843E7,4737987,256,81,4781285,82,,16-12-2020,,3674678,63
Dominican Republic,DOM,AMRO,REPORTING,29-12-2023,1.6431089E7,7360900,151,68,6130483,57,,16-02-2021,,2575142,24
Algeria,DZA,AFRO,REPORTING,31-12-2023,1.5267442E7,7840131,35,18,6481186,15,,30-01-2021,,575651,1
Ecuador,ECU,AMRO,REPORTING,29-12-2023,3.9585085E7,1.5345791E7,224,87,1.4249559E7,81,,20-01-2021,,7732930,44
Egypt,EGY,EMRO,REPORTING,31-12-2023,1.02191677E8,5.6907319E7,100,56,4.2337175E7,41,,24-01-2021,,1.5217352E7,15
Spain,ESP,EURO,REPORTING,23-12-2023,1.19228502E8,4.1332877E7,252,87,3.7486219E7,79,,30-12-2020,,3.2914841E7,70
Estonia,EST,EURO,REPORTING,23-12-2023,2205229,845148,166,64,842177,63,,23-12-2020,,487389,37
Ethiopia,ETH,AFRO,REPORTING,31-12-2023,6.8856793E7,5.2489512E7,60,46,4.3653006E7,38,,13-03-2021,,5978070,5
Finland,FIN,EURO,REPORTING,23-12-2023,1.4186622E7,4547671,257,82,4365135,79,,23-12-2020,,4016189,73
France,FRA,EURO,REPORTING,23-12-2023,1.58060078E8,5.4677676E7,243,84,5.3189148E7,82,,23-12-2020,,4.104216E7,63
Gabon,GAB,AFRO,REPORTING,31-12-2023,572672,311244,26,14,257471,12,,23-03-2021,,2592,
United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,23-12-2023,1.5124882E8,5.3813491E7,223,79,5.0762968E7,75,,21-12-2020,,,
Georgia,GEO,EURO,REPORTING,23-12-2023,2739270,1300867,69,33,1187212,30,,17-03-2021,,251191,6
Ghana,GHA,AFRO,REPORTING,31-12-2023,2.5624828E7,1.3864186E7,82,45,1.0780003E7,35,,02-03-2021,,4806017,15
Guinea,GIN,AFRO,REPORTING,31-12-2023,1.2049511E7,8715641,92,66,5853990,45,,05-03-2021,,425378,3
Guadeloupe,GLP,,REPORTING,29-12-2023,400424,152189,100,38,146147,37,,,,89052,22
Gambia,GMB,AFRO,REPORTING,31-12-2023,1444492,674314,60,28,539186,22,,10-03-2021,,53741,2
Guinea-Bissau,GNB,AFRO,REPORTING,31-12-2023,920752,747057,47,38,547637,28,,02-04-2021,,76359,4
Equatorial Guinea,GNQ,AFRO,REPORTING,31-12-2023,488738,270109,35,19,214032,15,,12-02-2021,,4597,
Greece,GRC,EURO,REPORTING,23-12-2023,2.2155251E7,7917288,207,74,7745574,72,,23-12-2020,,6071723,57
Grenada,GRD,AMRO,REPORTING,29-12-2023,90686,44241,81,39,39034,35,,15-02-2021,,7411,7
Guatemala,GTM,AMRO,REPORTING,29-12-2023,2.0383475E7,8937923,114,50,7130895,40,,25-02-2021,,3723845,21
French Guiana,GUF,,REPORTING,29-12-2023,242386,100359,81,34,90493,30,,,,46361,16
Guyana,GUY,AMRO,REPORTING,29-12-2023,967861,497550,123,63,384507,49,,11-02-2021,,80224,10
Honduras,HND,AMRO,REPORTING,29-12-2023,1.7074861E7,6596213,172,67,5853689,59,,22-02-2021,,4803544,48
Croatia,HRV,EURO,REPORTING,23-12-2023,5435966,2321669,134,57,2246622,55,,23-12-2020,,996098,25
Haiti,HTI,AMRO,REPORTING,29-12-2023,680104,521396,6,5,366339,3,,,,,
Hungary,HUN,EURO,REPORTING,23-12-2023,1.6578284E7,6358657,170,65,6152022,63,,23-12-2020,,3876420,40
Ireland,IRL,EURO,REPORTING,23-12-2023,1.3122238E7,4245977,264,86,4063819,82,,30-12-2020,,3787948,76
Iceland,ISL,EURO,REPORTING,23-12-2023,903424,307412,248,84,297934,82,,30-12-2020,,287652,79
Israel,ISR,EURO,REPORTING,23-12-2023,1.8852564E7,7055466,218,82,6385731,74,,16-12-2020,,4474108,52
Italy,ITA,EURO,REPORTING,23-12-2023,1.50321543E8,5.0583975E7,252,85,4.9484586E7,83,,23-12-2020,,4.4917315E7,75
Jamaica,JAM,AMRO,REPORTING,29-12-2023,1529113,722248,52,24,760800,26,,10-03-2021,,46065,2
Japan,JPN,WPRO,REPORTING,31-12-2023,4.33356604E8,1.04740066E8,343,83,1.03455221E8,82,,17-02-2021,,8.6666847E7,69
Kazakhstan,KAZ,EURO,REPORTING,23-12-2023,3.8355605E7,1.2443364E7,204,66,1.3070774E7,70,,07-04-2021,,6801526,36
Kenya,KEN,AFRO,REPORTING,31-12-2023,2.3750431E7,1.4494372E7,44,27,1.109044E7,21,,05-03-2021,,2000636,4
Kyrgyzstan,KGZ,EURO,REPORTING,23-12-2023,3167393,1528725,49,23,1337850,21,,31-03-2021,,300818,5
Cambodia,KHM,WPRO,REPORTING,31-12-2023,4.7826645E7,1.531667E7,286,92,1.4693274E7,88,,10-02-2021,,1.078271E7,64
Saint Kitts and Nevis,KNA,AMRO,REPORTING,29-12-2023,64297,33794,121,64,27000,51,,22-02-2021,,3465,7
Kuwait,KWT,EMRO,REPORTING,03-12-2023,8261221,3457498,193,81,3346176,78,,28-12-2020,,1457547,34
Liberia,LBR,AFRO,REPORTING,31-12-2023,4460668,3903802,88,77,3730967,74,,01-04-2021,,1987,
Libya,LBY,EMRO,REPORTING,31-12-2023,3653384,2316327,53,34,1236102,18,,11-04-2021,,186729,3
Saint Lucia,LCA,AMRO,REPORTING,29-12-2023,122977,60140,67,33,54971,30,,17-02-2021,,7866,4
Lesotho,LSO,AFRO,REPORTING,31-12-2023,1339097,1014073,63,47,938088,44,,10-03-2021,,177816,8
Lithuania,LTU,EURO,REPORTING,23-12-2023,4532649,1960786,162,70,1907061,68,,23-12-2020,,902103,32
Luxembourg,LUX,EURO,REPORTING,23-12-2023,1337940,469285,214,75,462715,74,,30-12-2020,,368527,59
Latvia,LVA,EURO,REPORTING,23-12-2023,2979624,1344394,156,70,1304787,68,,30-12-2020,,550901,29
Morocco,MAR,EMRO,REPORTING,31-12-2023,5.5389602E7,2.5020168E7,150,68,2.3521989E7,64,,28-01-2021,,6925973,19
Monaco,MCO,EURO,REPORTING,23-12-2023,71929,25123,183,64,25261,64,,30-06-2021,,17747,45
Republic of Moldova,MDA,EURO,REPORTING,23-12-2023,2293086,1109524,57,28,1078961,27,,03-03-2021,,406022,10
Madagascar,MDG,AFRO,REPORTING,31-12-2023,3092063,2710365,11,10,2628849,9,,10-05-2021,,169187,1
Mexico,MEX,AMRO,REPORTING,29-12-2023,2.22226293E8,9.6727823E7,172,75,8.1346379E7,63,,24-12-2020,,5.7014052E7,44
North Macedonia,MKD,EURO,REPORTING,23-12-2023,1862987,854570,89,41,838181,40,,17-02-2021,,161633,8
Mali,MLI,AFRO,REPORTING,31-12-2023,5922585,4354292,29,22,3633589,18,,31-03-2021,,,
Malta,MLT,EURO,REPORTING,23-12-2023,1282437,450535,249,88,444904,86,,23-12-2020,,354901,69
Montenegro,MNE,EURO,REPORTING,23-12-2023,526975,272152,84,43,254365,40,,24-02-2021,,,
Mozambique,MOZ,AFRO,REPORTING,31-12-2023,3.4950858E7,2.2869646E7,112,73,2.1329745E7,68,,08-03-2021,,2323562,7
Mauritania,MRT,AFRO,REPORTING,31-12-2023,4075874,2103754,88,45,1540597,33,,26-03-2021,,383937,8
Montserrat,MSR,AMRO,REPORTING,29-12-2023,4619,2104,92,42,1952,39,,08-02-2021,,563,11
Mauritius,MUS,AFRO,REPORTING,31-12-2023,2616012,1123773,206,88,1088142,86,,26-01-2021,,654507,51
Malawi,MWI,AFRO,REPORTING,31-12-2023,8503954,5433538,44,28,4288014,22,,11-03-2021,,1232829,6
Malaysia,MYS,WPRO,REPORTING,31-12-2023,7.2647279E7,2.8137593E7,224,87,2.7550612E7,85,,24-02-2021,,1.634767E7,51
Namibia,NAM,AFRO,REPORTING,31-12-2023,1005937,629767,40,25,550978,22,,19-03-2021,,298560,12
Niger,NER,AFRO,REPORTING,31-12-2023,7372208,6248483,30,26,5483001,23,,29-03-2021,,,
Nigeria,NGA,AFRO,REPORTING,31-12-2023,1.33048021E8,9.3829435E7,65,46,8.1297808E7,39,,05-03-2021,,1.6826715E7,8
Nicaragua,NIC,AMRO,REPORTING,29-12-2023,1.5507763E7,6404524,234,97,6126708,92,,03-03-2021,,2892531,44
Netherlands (Kingdom of the),NLD,EURO,REPORTING,23-12-2023,4.0291263E7,1.3469323E7,231,77,1.2405837E7,71,,30-12-2020,,1.2146841E7,70
Norway,NOR,EURO,REPORTING,23-12-2023,1.3020641E7,4346149,243,81,4061312,76,,23-12-2020,,3705726,69
Panama,PAN,AMRO,REPORTING,29-12-2023,9201276,3746041,213,87,3178700,74,,20-01-2021,,1770843,41
Peru,PER,AMRO,REPORTING,29-12-2023,9.1328338E7,3.0542485E7,277,93,2.8709882E7,87,,09-02-2021,,2.2245062E7,67
Papua New Guinea,PNG,WPRO,REPORTING,04-12-2023,543670,399198,6,4,338004,4,,30-03-2021,,37525,
Poland,POL,EURO,REPORTING,23-12-2023,5.8634593E7,2.2984543E7,154,61,2.2705868E7,60,,23-12-2020,,1.2928562E7,34
Puerto Rico,PRI,AMRO,REPORTING,29-12-2023,7846764,3136418,274,100,2688410,94,,,,1808780,63
Portugal,PRT,EURO,REPORTING,23-12-2023,2.7360186E7,9822021,266,95,8910340,87,,23-12-2020,,7052055,68
Paraguay,PRY,AMRO,REPORTING,29-12-2023,9954852,3995915,140,56,3550673,50,,22-02-2021,,1660766,23
Romania,ROU,EURO,REPORTING,23-12-2023,1.6112261E7,8188137,83,42,8142363,42,,27-01-2021,,1770001,9
Russian Federation,RUS,EURO,REPORTING,23-12-2023,1.87374508E8,8.9081596E7,128,61,7.9702396E7,55,,,,,
Rwanda,RWA,AFRO,REPORTING,31-12-2023,2.7322059E7,1.0884714E7,211,84,1.0399665E7,80,,05-03-2021,,5879013,45
Sudan,SDN,EMRO,REPORTING,31-12-2023,2.8662107E7,1.5207452E7,65,35,1.3416394E7,31,,09-03-2021,,38261,
Senegal,SEN,AFRO,REPORTING,31-12-2023,3182308,2684696,19,16,1548665,9,,23-02-2021,,724754,4
Sierra Leone,SLE,AFRO,REPORTING,31-12-2023,9155936,5676123,115,71,4961886,62,,15-03-2021,,1201709,15
El Salvador,SLV,AMRO,REPORTING,29-12-2023,1.1459448E7,4659970,177,72,4397817,68,,17-02-2021,,1908547,29
San Marino,SMR,EURO,REPORTING,23-12-2023,69338,26357,204,78,23633,70,,24-02-2021,,19348,57
Somalia,SOM,EMRO,REPORTING,31-12-2023,8784760,8972167,55,56,7666835,48,,16-03-2021,,,
Serbia,SRB,EURO,REPORTING,23-12-2023,6722671,3398116,97,49,3324555,48,,23-12-2020,,,
South Sudan,SSD,AFRO,REPORTING,31-12-2023,4365547,4315127,39,39,4273253,38,,06-04-2021,,513122,5
Sao Tome and Principe,STP,AFRO,REPORTING,31-12-2023,263863,140256,120,64,111986,51,,15-03-2021,,34624,16
Suriname,SUR,AMRO,REPORTING,29-12-2023,554588,267820,95,46,237879,41,,23-02-2021,,48889,8
Slovakia,SVK,EURO,REPORTING,23-12-2023,7222380,2840017,132,52,2791711,51,,23-12-2020,,1686458,31
Slovenia,SVN,EURO,REPORTING,23-12-2023,3028400,1252307,144,60,1187384,57,,23-12-2020,,681485,33
Sweden,SWE,EURO,REPORTING,23-12-2023,2.3237123E7,7563941,225,73,7403549,72,,23-12-2020,,5542831,54
Eswatini,SWZ,AFRO,REPORTING,31-12-2023,870205,526050,75,45,427335,37,,19-03-2021,,179450,15
Sint Maarten (Dutch part),SXM,AMRO,REPORTING,29-12-2023,66829,29788,156,69,26773,62,,,,9146,21
Seychelles,SYC,AFRO,REPORTING,31-12-2023,224558,88520,228,90,83565,85,,10-01-2021,,44936,46
Turks and Caicos Islands,TCA,AMRO,REPORTING,29-12-2023,73907,32815,191,85,30710,79,,11-01-2021,,7443,19
Chad,TCD,AFRO,REPORTING,31-12-2023,9151765,5147667,56,31,5020360,31,,04-06-2021,,4042573,25
Togo,TGO,AFRO,REPORTING,31-12-2023,3423181,2255579,41,27,1554066,19,,10-03-2021,,427804,5
Tajikistan,TJK,EURO,REPORTING,23-12-2023,2.0568163E7,5328277,216,56,5191919,54,,24-03-2021,,5322496,56
Turkmenistan,TKM,EURO,REPORTING,23-12-2023,1.677597E7,4614869,278,77,4568901,76,,24-02-2021,,3816400,63
Trinidad and Tobago,TTO,AMRO,REPORTING,29-12-2023,1592148,754399,114,54,718969,51,,17-02-2021,,174836,12
Tunisia,TUN,EMRO,REPORTING,31-12-2023,1.6553338E7,8896848,140,75,6401705,54,,13-03-2021,,1258577,11
T?rkiye,TUR,EURO,REPORTING,23-12-2023,1.52475057E8,5.7936783E7,181,69,5.317179E7,63,,,,2.7896331E7,33
United Republic of Tanzania,TZA,AFRO,REPORTING,31-12-2023,3.9392419E7,3.4434933E7,66,58,3.2165791E7,54,,28-07-2021,,,
Uganda,UGA,AFRO,REPORTING,31-12-2023,2.6406936E7,2.0033189E7,58,44,1.3061126E7,29,,10-03-2021,,764664,2
Ukraine,UKR,EURO,REPORTING,23-12-2023,3.5735488E7,1.6267198E7,82,37,1.5741036E7,36,,24-02-2021,,3294979,8
Uruguay,URY,AMRO,REPORTING,29-12-2023,9037498,3010464,260,87,2903186,84,,27-02-2021,,2080961,60
United States of America,USA,AMRO,REPORTING,29-12-2023,7.1181379E8,2.70227181E8,215,82,2.30637348E8,70,,14-12-2020,,1.18438297E8,36
Uzbekistan,UZB,EURO,REPORTING,23-12-2023,8.3937954E7,2.209447E7,251,66,1.8451781E7,55,,28-04-2021,,1.6413048E7,49
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,29-12-2023,73443,37532,66,34,31632,29,,01-02-2021,,4279,4
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,29-12-2023,3.7860994E7,2.2157232E7,133,78,1.428737E7,50,,22-02-2021,,651502,2
British Virgin Islands,VGB,AMRO,REPORTING,29-12-2023,41453,19466,137,64,18261,60,,11-02-2021,,3726,12
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,EURO,REPORTING,23-12-2023,1836901,904558,102,50,824752,46,,31-03-2021,,105624,6
Yemen,YEM,EMRO,REPORTING,10-12-2023,1298654,1050202,4,4,807057,3,,20-04-2021,,68925,
South Africa,ZAF,AFRO,REPORTING,31-12-2023,4.1798812E7,2.4210953E7,70,41,2.1038797E7,35,,17-02-2021,,4410601,7
Zambia,ZMB,AFRO,REPORTING,31-12-2023,1.3615707E7,1.1711565E7,74,64,9155551,50,,14-04-2021,,1414619,8
Zimbabwe,ZWE,AFRO,REPORTING,31-12-2023,1.3935112E7,7525882,94,51,5662119,38,,18-02-2021,,2299968,15
United Arab Emirates,ARE,EMRO,REPORTING,06-07-2022,2.4922054E7,9991089,252,100,9792266,99,,,,5138699,52
Bangladesh,BGD,SEARO,REPORTING,18-10-2023,3.62229859E8,1.51504394E8,220,92,1.42193276E8,86,,27-01-2021,,6.8532189E7,42
Bahrain,BHR,EMRO,REPORTING,21-12-2022,3476633,1241174,204,73,1226796,72,,04-11-2020,,1008663,59
Brunei Darussalam,BRN,WPRO,REPORTING,30-06-2023,1293100,451149,296,100,446714,100,,03-04-2021,,340466,78
Bhutan,BTN,SEARO,REPORTING,30-10-2022,2011426,699116,261,91,677669,88,,27-03-2021,,634641,82
China,CHN,WPRO,REPORTING,20-04-2023,3.516880717E9,1.318026807E9,239,90,1.284479582E9,87,,22-07-2020,,8.34060133E8,57
Cook Islands,COK,WPRO,REPORTING,31-01-2023,40080,15112,228,86,14728,84,,17-05-2021,,10240,58
Fiji,FJI,WPRO,REPORTING,29-06-2023,1555182,712025,173,79,641194,72,,07-03-2021,,172078,19
Gibraltar,GIB,,REPORTING,,,,,,,,,,,,
Greenland,GRL,EURO,REPORTING,,,,,,,,,,,,
"China, Hong Kong SAR",HKG,WPRO,REPORTING,,,,,,,,,,,,
Indonesia,IDN,SEARO,REPORTING,23-11-2023,4.4819986E8,2.04419394E8,164,75,1.74965137E8,64,,13-01-2021,,6.935625E7,25
India,IND,SEARO,REPORTING,23-11-2023,2.208365081E9,1.027419851E9,160,74,9.52128795E8,69,,16-01-2021,,2.28816435E8,17
Iran (Islamic Republic of),IRN,EMRO,REPORTING,26-11-2023,1.55461757E8,6.5199831E7,185,78,5.8585264E7,70,,09-02-2021,,3.1352288E7,37
Iraq,IRQ,EMRO,REPORTING,02-01-2023,1.9557364E7,1.1332925E7,49,28,7944775,20,,02-03-2021,,275280,1
Jordan,JOR,EMRO,REPORTING,21-08-2022,1.0057975E7,4821579,99,47,4558313,45,,13-01-2021,,682211,7
Kiribati,KIR,WPRO,REPORTING,06-02-2023,219980,100900,184,84,81474,68,,26-05-2021,,37606,31
Republic of Korea,KOR,WPRO,REPORTING,04-09-2023,1.35927574E8,4.5119824E7,265,88,4.4689199E7,87,,26-02-2021,,3.3644119E7,66
Lao People's Democratic Republic,LAO,WPRO,REPORTING,21-05-2023,1.387941E7,6324678,191,87,5691962,78,,25-11-2020,,2451034,34
Lebanon,LBN,EMRO,REPORTING,22-12-2022,5814699,2740227,85,40,2414223,35,,14-02-2021,,660249,10
Liechtenstein,LIE,,REPORTING,,71104,26681,,,26346,,,,,18310,
Sri Lanka,LKA,SEARO,REPORTING,30-10-2022,4.011659E7,1.7143761E7,187,80,1.4752827E7,69,,29-01-2021,,8220002,38
"China, Macao SAR",MAC,WPRO,REPORTING,,,,,,,,,,,,
Maldives,MDV,SEARO,REPORTING,25-05-2023,951764,399308,176,74,385167,71,,01-02-2021,,167289,31
Myanmar,MMR,SEARO,REPORTING,21-08-2023,9.3477104E7,4.1551927E7,172,76,3.5937796E7,66,,27-01-2021,,1.5987381E7,29
Mongolia,MNG,WPRO,REPORTING,17-03-2023,5668144,2284018,173,70,2185282,67,,23-02-2021,,1058839,32
New Caledonia,NCL,WPRO,REPORTING,03-04-2023,480497,192371,168,67,184801,65,,20-01-2021,,103325,36
Niue,NIU,WPRO,REPORTING,04-03-2023,4923,1638,304,100,1635,100,,08-06-2021,,1225,76
Nepal,NPL,SEARO,REPORTING,23-11-2023,6.2627629E7,2.7883196E7,215,96,2.4471043E7,84,,27-01-2021,,1.027339E7,35
Nauru,NRU,WPRO,REPORTING,20-02-2023,32157,13106,297,100,11346,100,,09-04-2021,,7705,71
New Zealand,NZL,WPRO,REPORTING,21-04-2023,1.2252378E7,4259911,254,88,4096278,85,,19-02-2021,,2719283,56
Oman,OMN,EMRO,REPORTING,25-10-2022,7108547,3279632,139,64,3048826,60,,29-12-2020,,779859,15
Pakistan,PAK,EMRO,REPORTING,14-11-2023,3.40974144E8,1.6556789E8,154,75,1.40475871E8,64,,03-02-2021,,5.3152375E7,24
Philippines,PHL,WPRO,REPORTING,19-03-2023,1.89317158E8,8.2684774E7,173,75,7.8443972E7,72,,01-03-2021,,2.3811248E7,22
Palau,PLW,WPRO,REPORTING,10-03-2023,51032,20295,282,100,18278,100,,03-01-2021,,12885,71
"occupied Palestinian territory, including east Jerusalem",PSE,EMRO,REPORTING,18-10-2022,3748571,2012767,73,39,1776973,35,,02-02-2021,,336967,7
French Polynesia,PYF,WPRO,REPORTING,17-07-2023,493692,195688,176,70,195688,70,,18-01-2021,,102317,36
Qatar,QAT,EMRO,REPORTING,07-05-2023,7609178,2852178,264,99,2852178,99,,,,1904822,66
Saudi Arabia,SAU,EMRO,REPORTING,25-04-2023,6.8534631E7,2.7041364E7,197,78,2.5433941E7,73,,06-01-2021,,1.6059326E7,46
Singapore,SGP,WPRO,REPORTING,29-08-2023,1.530253E7,5287005,262,90,5248693,90,,30-12-2020,,4769158,82
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,
Solomon Islands,SLB,WPRO,REPORTING,04-07-2023,612700,335796,89,49,254016,37,,23-03-2021,,27896,4
Syrian Arab Republic,SYR,EMRO,REPORTING,18-04-2023,5090630,3295630,29,19,2358365,13,,01-04-2021,,75881,
Thailand,THA,SEARO,REPORTING,01-09-2023,1.42635014E8,5.7666184E7,204,83,5.4196116E7,78,,28-02-2021,,3.2143431E7,46
Tokelau,TKL,WPRO,REPORTING,05-12-2022,6342,2203,470,100,2203,100,,20-07-2021,,968,72
Timor-Leste,TLS,SEARO,REPORTING,22-11-2023,2028798,886838,154,67,801759,61,,07-04-2021,,340201,26
Tonga,TON,WPRO,REPORTING,30-06-2023,204737,87375,194,83,77390,73,,14-04-2021,,38588,37
Tuvalu,TUV,WPRO,REPORTING,01-02-2023,26783,9763,227,83,9505,81,,13-04-2021,,5745,49
"Taiwan, China",TWN,,REPORTING,,,,,,,,,,,,
Viet Nam,VNM,WPRO,REPORTING,30-06-2023,2.66492149E8,9.0497674E7,274,93,8.5961564E7,88,,08-03-2021,,5.797522E7,60
Vanuatu,VUT,WPRO,REPORTING,20-02-2023,355430,176624,116,58,162250,53,,02-06-2021,,16556,5
Wallis and Futuna,WLF,WPRO,REPORTING,23-01-2023,17303,7150,154,64,6803,60,,19-03-2021,,3350,30
Samoa,WSM,WPRO,REPORTING,24-02-2023,453130,191403,228,96,177954,90,,18-04-2021,,82268,41
